ANYO,MES,DIA,HORA,FRANJA_HORARIA,TIPO_DIA,id
2018,7,VIERNES,20,Noche,Dias laborables,7338
2018,7,JUEVES,10,Mañana,Dias laborables,7339
2018,7,MARTES,19,Noche,Dias laborables,7340
2018,7,MARTES,11,Mañana,Dias laborables,7341
2018,7,MIÉRCOLES,13,Tarde,Dias laborables,7342
2018,7,VIERNES,7,Mañana,Dias laborables,7343
2018,7,VIERNES,14,Tarde,Dias laborables,7344
2018,7,MARTES,12,Tarde,Dias laborables,7345
2018,6,LUNES,11,Mañana,Dias laborables,7346
2018,7,DOMINGO,12,Tarde,Fines de semana,7347
2018,7,MIÉRCOLES,16,Tarde,Dias laborables,7348
2018,7,JUEVES,18,Noche,Dias laborables,7349
2018,7,DOMINGO,6,Mañana,Fines de semana,7350
2018,7,MARTES,15,Tarde,Dias laborables,7351
2018,7,SÁBADO,15,Tarde,Fines de semana,7352
2018,7,SÁBADO,19,Noche,Fines de semana,7353
2018,7,LUNES,11,Mañana,Dias laborables,7354
2018,7,MARTES,13,Tarde,Dias laborables,7355
2018,7,MIÉRCOLES,12,Tarde,Dias laborables,7356
2018,5,MARTES,20,Noche,Dias laborables,7357
2018,7,JUEVES,11,Mañana,Dias laborables,7358
2018,7,JUEVES,11,Mañana,Dias laborables,7359
2018,7,JUEVES,8,Mañana,Dias laborables,7360
2018,7,JUEVES,13,Tarde,Dias laborables,7361
2018,7,JUEVES,15,Tarde,Dias laborables,7362
2018,7,LUNES,16,Tarde,Dias laborables,7363
2018,7,MARTES,17,Tarde,Dias laborables,7364
2018,7,LUNES,14,Tarde,Dias laborables,7365
2018,7,VIERNES,19,Noche,Dias laborables,7366
2018,7,LUNES,12,Tarde,Dias laborables,7367
2018,7,LUNES,13,Tarde,Dias laborables,7368
2018,7,LUNES,20,Noche,Dias laborables,7369
2018,7,LUNES,8,Mañana,Dias laborables,7370
2018,7,LUNES,13,Tarde,Dias laborables,7371
2018,8,MIÉRCOLES,16,Tarde,Dias laborables,7372
2018,8,MIÉRCOLES,12,Tarde,Dias laborables,7373
2018,8,JUEVES,11,Mañana,Dias laborables,7374
2018,8,SÁBADO,13,Tarde,Fines de semana,7375
2018,7,MARTES,8,Mañana,Dias laborables,7376
2018,8,DOMINGO,10,Mañana,Fines de semana,7377
2018,7,LUNES,8,Mañana,Dias laborables,7378
2018,7,DOMINGO,16,Tarde,Fines de semana,7379
2018,7,SÁBADO,13,Tarde,Fines de semana,7380
2018,8,SÁBADO,6,Mañana,Fines de semana,7381
2018,8,MARTES,13,Tarde,Dias laborables,7382
2018,7,MIÉRCOLES,19,Noche,Dias laborables,7383
2018,7,LUNES,19,Noche,Dias laborables,7384
2018,8,MIÉRCOLES,14,Tarde,Dias laborables,7385
2018,8,JUEVES,22,Noche,Dias laborables,7386
2018,8,JUEVES,13,Tarde,Dias laborables,7387
2018,7,VIERNES,12,Tarde,Dias laborables,7388
2018,7,VIERNES,12,Tarde,Dias laborables,7389
2018,8,LUNES,12,Tarde,Dias laborables,7390
2018,8,MIÉRCOLES,15,Tarde,Dias laborables,7391
2018,8,VIERNES,18,Noche,Dias laborables,7392
2018,7,MARTES,8,Mañana,Dias laborables,7393
2018,8,MIÉRCOLES,11,Mañana,Dias laborables,7394
2018,8,DOMINGO,17,Tarde,Fines de semana,7395
2018,8,LUNES,12,Tarde,Dias laborables,7396
2018,8,SÁBADO,7,Mañana,Fines de semana,7397
2018,8,SÁBADO,9,Mañana,Fines de semana,7398
2018,8,SÁBADO,11,Mañana,Fines de semana,7399
2018,8,LUNES,20,Noche,Dias laborables,7400
2018,8,LUNES,23,Noche,Dias laborables,7401
2018,8,MARTES,4,Madrugada,Dias laborables,7402
2018,8,MIÉRCOLES,1,Madrugada,Dias laborables,7403
2018,8,MARTES,16,Tarde,Dias laborables,7404
2018,8,JUEVES,14,Tarde,Dias laborables,7405
2018,8,VIERNES,16,Tarde,Dias laborables,7406
2018,8,JUEVES,18,Noche,Dias laborables,7407
2018,8,SÁBADO,7,Mañana,Fines de semana,7408
2018,8,SÁBADO,9,Mañana,Fines de semana,7409
2018,8,MARTES,12,Tarde,Dias laborables,7410
2018,8,JUEVES,16,Tarde,Dias laborables,7411
2018,8,VIERNES,23,Noche,Dias laborables,7412
2018,8,MIÉRCOLES,10,Mañana,Dias laborables,7413
2018,8,MARTES,12,Tarde,Dias laborables,7414
2018,8,MIÉRCOLES,17,Tarde,Dias laborables,7415
